author_name,author_from,comment_title,comment_body,comment_date
MauricioPiracicaba,"Piracicaba, SP",Local agradável para passeio em família,"Local bem arborizado e agradável para práticas esportivas, lazer em família ou mesmo um simples passeio. Vale à pena conferir.", dezembro de 2016
Tatyane Bernardini,"São José, SC",muito bom,"parque legal para piquenique e para atividades físicas, com barzinho e restaurantes.. muito legal para almoçar.", setembro de 2016
Natalia A,"Maricá, RJ",Parque Barigui,"Um parque para passar o dia todo!  Com uma parte bem fresquinha com bancos e árvores, passamos nosso domingo descansando. Ótimo parque para fazer um lanche e levar as crianças.", dezembro de 2016
DiogoVargas,"Guarulhos, SP",Pouca sombra,"Estivemos num dia de verão, período da tarde e apesar de grande e bem cuidado as atrações ficam todas expostas ao sol forte, não é possível fazer um caminhada ou colocar a crianças para brincar em sombras, que são bem poucas por sinal. Estive em outros parques de Curitiba e", dezembro de 2016
Patricia A,"Brasília, DF",Parque lindo!,"Parque lindo! Excelente passeio, ótimo para caminha, corrida , passeio bicicleta. Passeio tranquilo e agradável . Arborizado , com estacionamento , banheiros . Recomendo passeio!", janeiro de 2017
Cris A,,Tranquilo ,"Lugar muito tranquilo para ler, fazer exercícios, namorar e ficar com os amigos e familiares. As pessoas têm contato com capivaras entre outros animais. Na passagem do ano, as pessoas da cidade se reúnem lá para ver e fazer a queima de fogos e confraternizar.", janeiro de 2017
Gaby_nelli,"Lençóis Paulista, SP",Ano novo,"Passamos a virada do ano lá. Como curitiba não tem queima de fogos, a populacão se reuniu lá e levaram por conta os fogos. Foi muito gostoso passar a virada lá vendo os fogos no lago.", janeiro de 2017
Ivan Campos,"Maringá, PR",Espaço de caminhadas,"o Parque Barigui é o parque mais frequentado de Curitiba. Além de refúgio para animais, o parque é também a grande área de preservação natural da região central da cidade. No Parque Barigui você encontra diversas opções de lazer, seja na prática de esportes como caminhada, andar", março de 2016
Adriana d,,Parque com muita diversão,"Sem dúvida é o parque com maior movimento, muito procurado para caminhadas, passeio de bicicleta. Passeio para toda família e animalzinho de estimação. Muitas vezes com atividades como no dia das crianças, competição de vôlei de areia onde é montado a arena com arquibancadas.", dezembro de 2016
Ana F,,Barigui ,"Parque grande, com espaço excelente para  caminhadas, corridas e bicicleta. Pode se também fazer um churrasco ou piquenique em lugares estratégicos que o parque oferece.  ", dezembro de 2016
Mark A,,Melhor parque,"Sem duvida o melhor parque tanto para exercitar, ir com a família, amigos, namorada, esposa, cachorro, ou so apreciar a vista.", dezembro de 2016
Hegle B,,Adorei!,"Gostei,o parque é lindo, muito bem cuidado. O lago é maravilhoso. O dia que fui estava bem cheio, mas isso não atrapalhou em o passeio. ", dezembro de 2016
Fernanda Martins,"Belo Horizonte, MG",Ar de interior em plena capital,"O parque é enorme, lindo e nem parece que fica numa cidade grande.  Vale a pena conhecer e fazer uma caminhada no final do dia.", dezembro de 2016
weverviana,"Curitiba, PR",Principal Parque da Cidade,"É o melhor parque da cidade, não necessariamente o mais bonito. Possui pistas para caminhada, ciclovia, locais para lanches e restaurantes. É possível também fazer um passeio de helicoptero, praticar esportes nas quadras ou fazer um churrasco com os amigos.", fevereiro de 2016
PEDRO D,,Recanto aprazivel,"É uma reserva de mata muito agradável com um grande lago, um Centro de Convenções com atividades constantes, restaurante e natureza para desfrutar. Bom para passar o dia.", março de 2016
talifarinon,"Curitiba, PR",Maravilhoso para caminhadas ,"Local ideal para caminhadas e corridas, após cansativo dia de trabalho ir até o parque é um relaxante natural!", dezembro de 2016
HelenSRDias,,Passeio com a família,"O parque é ótimo, para um passeio despretensioso com a família, grupo de amigo ou até mesmo sozinho. Tem uma paisagem linda, com lago e área verde de grama, pistas separadas para corrida, caminhada é ciclismo. Fui com a família e aproveitei para corre, e no final fizemos um", dezembro de 2016
Rosana D,,Cartão Postal de Curitiba,"Nosso ""Central park""! Lindo em todas as estações. Estimulo `a esportes, atual, saudável e contagiando, quando saímos queremos cuidar mais da nossa saúde.", dezembro de 2016
Joon O,"Curitiba, PR","Tranquilidade, Repouso e Diversão ao Mesmo Tempo","Um parque imenso onde todos os curitibanos se encontram nos finais da semana. Cada um pratica o esporte que quiser, assa churrasco com toda a família, ou se tiver aberto pode assistir uma exposição interessante. É o coração dos curitibanos!!", fevereiro de 2016
Luis A,"São Paulo, SP",otimo parque em curitiba,"voce pode correr, caminhar, brincar , fazer um monte de coisas no principal parque da cidade de curitiba. Vale muito a pena passar algumas horas com as criancas ou sozinho", dezembro de 2016
Anderson J,"Arraial d'Ajuda, BA",Diversão,Local muitíssimo agradável Restaurantes e lanchonetes aconchegantes  O espaço Verde é muito bem cuidado e a guardas municipais sempre por perto. cartão postal da cidade de Curitiba , dezembro de 2016
Georgiane V,,ótimo,"ótimo para visitar. Fica bem na saída de Curitiba para o interior do Paraná. Dá pra caminhar, correr, andar de bike. Tem comida, lago e alguns animais soltos que fazem a festa. É muito seguro também", outubro de 2016
André M,"Recife, PE",Ótimo!,"Como praticamente todos os parques do Curitiba, o Barigui também é ótimo. Enorme e tem um bom restaurante na parte interna.", agosto de 2016
marilia b,,Curitiba caminha por aqui,"Diria que é um dos mais movimentados da cidade, com pista de caminhada sempre cheia (nos dias sem chuva). A floresta do Parque é o charme, vegetação que revigora. Dias de chuva intensa limitam caminhadas, já que a função do parque é também conter cheias, e a água da chuva se", maio de 2016
Lucas F,,Bonito e cheio,"Local muito arborizado, com pista para caminhada, Cooper e bicicleta, uma separada da outra. Muito bem bolado. Uma delícia de parque.", dezembro de 2016
Bgross2,,Parque ótimo!,"O parque possui ótima localização, infraestrutura para corridas, caminhadas e outros esportes também!", dezembro de 2016
NLPO,"Gravatal, SC",A praia de Curitiba,"Parque mais famoso de Curitiba, com lago e pistas para caminhar, correr e pedalar, além de canchas para vôlei de praia, academia pública , pavilhão de exposições e lanchonetes.", dezembro de 2016
Karine O,"Rondonópolis, MT",Parque maravilhoso,"O Barigui é um dos meus parques preferidos. É enorme, super bonito e bem cuidado. Tem umas áreas mais movimentadas e outras mais reservadas para quem quer relaxar. É uma ótima opção para todo tipo de pessoa, pq tem espaço para praticar atividades físicas, descansar deitado na", janeiro de 2016
Lincoln Melo,"Brasília, DF","Parque grande, lindo, mas com uma ressalva","O parque é lindo, grande, com um lago belíssimo, ótimo para fazer caminhada, correr, andar de bicicleta e etc. Andar pela grama ou deitar nela seria muito bom também, porém é impossível por causa do campo minado de fezes de cachorro. Muitas mesmo, fiquei meio decepcionado com a", dezembro de 2016
Debbie L,"Paraíso, SP",Lazer para todos! ,O parque oferece muitos pontos de lazer! O local é limpo e bem organizado! Não falta lugar para estacionar! Diria que é bem democrático! , dezembro de 2016
Thamires S,"Curitiba, PR",Lindo,"Ótimo para passear com a familia, amigos, casal, fazer atividades fisicas e estar ao ar livre, respirando muito ar puro e ver animais do local. Muito lindo! ", outubro de 2016
Antônio Augusto M,,Parque do contato com a natureza,"Parque amplo para a prática de atividades físicas, com espaços para piqueniques, bem sinalizado para ciclistas, skatistas e pedestres. Para relaxar, há um grande lago para apreciarmos alguns animais como peixes, patos e capivaras, além de bares e restaurantes, dentre os quais", janeiro de 2016
amorimadv1,"Aracaju, SE",Lugar tranquilo e relaxante!!,Lugar muito aprazível. Excelente lugar para se descansar e para a prática de esportes.  Tem amplo estacionamento. O acesso é pela saída da cidade., dezembro de 2016
nicolehaida,"Curitiba, PR",Bom,"Um dos Parks mais conhecidos e frequentados de Curitiba. E possível fazer passeios com as crianças, piqueniques, passeios de bicicletas, roller, skate e outros. Ótima atividade de lazer ", outubro de 2016
DiogoSchuhli,"Province of Cordoba, Argentina",Lindo e movimentado,"Maior parque de Curitiba, onde é muito frequentado no final de semana pelos moradores seja para fazer esporte, passear ou fazer piquenique. Aproveite um dia de sol, beba um caldo de cana e aprecie o jacaré e as capivaras do lago.", dezembro de 2016
Roberto R,"Curitiba, PR",Ótimo parque para um programa num dia de sol!,"O Parque Barigui tem uma grande área destinada a passeios de bicicleta, caminhadas, corridas, etc. Tem área com sombras de árvores em diversos locais. Existem algumas churrasqueiras públicas, mas é preciso chegar cedo para garantir lugar. No centro do parque, tem um grande lago", outubro de 2016
RSGilmar,"Santos, SP",Passeio divertido,"Ótimo local para caminhar, correr ou não fazer nada. Simplesmente sentar e apreciar. Comer pipoca, churros, ou uma pizza. Observar os pássaros, ou outras espécies do local. Excelente para gastar as energias das crianças.", dezembro de 2016
FabioCFonseca,"Curitiba, PR",excelente parque,"para mim, é o melhor parque de Curitiba, os melhores dias para aproveitar são durante a semana , pois final de semana é muito cheio.", dezembro de 2016
RGCotait,,Domingo no Parque,"Muito bom passar o dia no parque. grama, lago pedalinho, andar em meio a natureza. Estrutura com banheiros e lanchonetes, churrasqueiras, etc... Pavilhão de exposições.", outubro de 2016
Fabricio H,"Curitiba, PR",Melhor Parque da Cidade,"Devido a sua localização e estrutura, o Parque Barigui é considerado o melhor parque de Curitiba. Excelente para corridas e caminhadas.", dezembro de 2016
Denise Z,"Curitiba, PR",Tranquilo!,"Um parque para vc passear, curtir, almoçar ...lindo!!! Fazer caminhadas matinais é o hobby de muitos curitibanos, e está sempre cheio de pessoas alegres e de bem com a vida! ", dezembro de 2016
Michelle C,"Curitiba, PR",Ícone de Curitiba,"Parque lindo para passear, praticar esportes, tirar fotos, respirar um ar puro. Indicado para todas as idades!", janeiro de 2016
Magabia,"Salvador, BA",Parque amplo e famoso,"Parque bem amplo, bom pra fazer caminhada, andar de bicicleta e patins e fazer piquenique. O parque fica ao redor de uma lagoa e é bem conservado e verde. Tem capivaras e patos que adoram uma pipoca. Problema: soube que tem aranhas marrons por lá. 😫 fiquei preocupada depois. É", dezembro de 2016
Vaneadvisor,"Curitiba, PR",Correndo como os locais,"O parque Barigui não é o mais turístico, não tem estufa, não tem arame, mas certamente se você quiser encontrar os curitibanos, este é o local! Com um lago lindo e algumas capivaras, o local é super agradável para um final de tarde ou para correr, caminhar ou andar de bicicleta", dezembro de 2016
18cml,"Curitiba, PR",Parque Barigui e o ponto de encontro dos Curitibanos descolados,"O parque fica próximo a vários bairros e oferece atividade dá-se para toda família incluindo eventos para adultos e crianças e seu lado e simplesmente maravilhoso com a neblina dos invernos de Curitiba, no nascer ou por do sol em dias ensolarados ou chuvosos. No parque", dezembro de 2016
jesune,"Curitiba, PR",ótimo para caminhar,É um parque bem grande ótimo para caminhar. Aos fins de semana é bem lotado então é bom escolher um dia mais tranquilo se o objetivo for praticar caminhada ou corrida., outubro de 2016
Luci B,"Curitiba, PR",Ideal para praticar esportes ,"Natureza plena, limpo, seguro ideal para caminhar, correr ou praticar qualquer esporte! A melhor pipoca e água de coco da cidade ", dezembro de 2016
Jefferson C,,Super indico muito bom,"Não tem nem o que dizer lugar lindo e aconchegante ótimo para relaxar , pra quem quer um pouco de sossego e muito bom mesmo super limpo e bem organizado ", dezembro de 2016
ElisabeteMariano,"Curitiba, PR",Acessível para todo público,"Oferece churrasqueiras, parque, pista de corrida, bicicleta e caminhada, constante eventos para o público, espaço para prática de aviões de controle remoto, pavilhão de eventos com feiras o ano todo, animais silvestres, além de 1 ou 2 jacarés, saguis e muitas, mas muitas antas.", dezembro de 2016
Ângela S,"Vacaria, RS",Show,"Parque lindo, grande, organizado, limpo, super bem cuidado. Ótimo para prática de diversos esportes e também para tomar um chimarrãozinho. Adoro!", dezembro de 2016
Ivana C,"Curitiba, PR",Ótima pedida para quem gosta de caminhar,"O Parque Barigui é um lugar tradicional de caminhada em Curitiba.  Situa-se na região oeste da cidade e é bastante frequentado por pessoas de diferentes idades, casais, famílias, etc.  Possui uma pista exclusiva para ciclismo, às vezes invadida por incautos.  Há que cuidar um", janeiro de 2016
Nelson B,"Curitiba, PR","É a ""Copacabana"" dos Curitibanos!","Como Curitiba não tem praia, o Parque Barigui é o ponto mais tradicional de encontro; muito eclético, comporta todos os gostos, opções e tribos, concilia natureza com atividades diversas ao ar livre, não tem como deixar de conhecer!", novembro de 2016
Tiessa,"Santa Maria, RS",Lindo.,Um dos lugares mais lindo de curitiba. ótimo para dar um passeio e uma caminhada. recomendo muito. preferencia ir em dias ensolarados., maio de 2016
Caio H,"Araucária, Parana, Brazil",Ponto de encontro,"O local é o ponto de encontro da cidade, tem gente de todos os cantos. Local bonito, agradável e ótimo para passar o dia com a família e ou amigos. No domingo, vá cedo para conseguir local legal para estacionar. Vale a visita com certeza", dezembro de 2016
heloisahd1,"Vilhena, RO",Otimo para fds!,"Lugar de beleza incrivel, otimo para passear com a familia e aproveitar a natureza, ótimo também para caminhadas e outros esportes.", janeiro de 2016
Ana Paula L,,Passeio,"Ótimo parque para ir sozinho, com a família, Cachorro, todos os dias o parque é cheio, tem muito espaço para atividades físicas, andar de bicicleta, jogar Volei, almoçar , fazer lanche, é divertimento para todas as idades", dezembro de 2016
Franciely Galassi,"Curitiba, PR",Natureza e diversão ,"Lugar lindo, ótimo para passar uma tarde. Fazer exercícios, caminhadas, levar seu animalzinho de estimação, ou até mesmo tomar um chopp com amigos. Escolha um dia de sol para conhecer. É realmente muito lindo.", dezembro de 2016
Edi_Benettis,"Curitiba, PR",Ótimo para caminhar,"Este parque sempre é escolhido por pessoaz que gostam de caminhar ,  andar de bicicleta,  patins.  Muitos levam seus cães  de estimação,  pena que deixam os animais fazerem suas necessidades fisiológicas na grama e não juntam.  Aconselho não andar na grama.", dezembro de 2016
ELIELCEZAR50,"Curitiba, PR",PARQUE ESPECIAL,"Muito bom esta o parque, principlamente depois da revitalização das luminarias, deixando no período da noite muito bem ilumindado, embora ainda precise de mais iluminação principalmente nas pista de compartilhamento  caminhada/corrida...etc. Tambem precisa melhorar o acesso pela", dezembro de 2016
walmorejr,"Blumenau, SC",Lugares interessantes,O Parque Barigui é extenso com trilhas para caminhadas ou passeio de bicicletas . Tem alguns bares com amenidades e o entorno é bonito tambem.  Proximo tem um shopping Center com inumeras lojas e serviços , dezembro de 2016
Jéssica  , Belo Horizonte,Parque lindo!,"Parque lindo! Ideal para pratica de esportes, pois é plano e propicia interação ideal com a cidade para praticar esportes.", dezembro de 2016
cleangelad,Chapecó Santa Catarina,Melhor parque para pratica de esportes,"O Parque Barigui é o melhor para um passeio em família ou pratica de esportes, caminhadas e piqueniques.", novembro de 2016
maria s,"Curitiba, PR",Lindo parque!,"Bonito parque onde pratico atividades fisicas na antiga olaria lá existente.Tem trilhas,churrasqueiras e outras atracoes.", novembro de 2016
Rogerio5108,"Curitiba, PR",passeio no parque,Melhor parque de Curitiba. Otimo para atividades fisicas e contato com a natureza. Local de encontro de gente bonita e alegre. , dezembro de 2016
Dinho2011,"Curitiba, PR",Ótima para pratica de esportes,"Possuí 3 pistas independentes para caminhada, corrida e bicicleta. Tem uma passarela que passa sob uma via de carros que permite uma volta completa de 5 km ininterrupta e quase toda plana.", dezembro de 2016
michel501967,"Curitiba, PR",Linda paisagem..,"ótimo para correr, andar ou ir com a familia, em especial nos dias de semana. evite domingos e datas festivas onde o parque fica muito cheio.  falta banheiros decentes.", dezembro de 2016
Marcondm,"Curitiba, PR","Local aprazível, limpo, tranquilo e com bom público","Local especial para fazer uma boa caminhada, corrida ou passeio com a família. O parque é realmente muito limpo e bem conservado.  Além da bela paisagem é possível apreciar diversas espécies de aves e as curiosas capivaras, que vivem soltas pelo parque. Vale muito a pena", novembro de 2016
Marcio Nicolle H,"Joinville, SC",Liberdade,Muito bom para passear com a família e praticar esportes ao ar livre. Mas poderia ter mais bancos para sentar ao longo do parque., setembro de 2016
Paulo S,"Buenos Aires, Argentina",O melhor parque de Curitiba!,"O parque barigui é o melhor de Curitiba. Ótimo para ir no meio da semana, ou mesmo no fim de semana (mas fica bem lotado).", dezembro de 2016
Herlon G,,Natureza,"Lindo parque, vários atrativos para todo tipo de uso. Crianças, adultos e idosos. Área de lazer e prática de atividades físicas. excelente. ", dezembro de 2016
Wellinton Maia Polopes,"Castro, PR",Para Corridas e Caminhadas,"Lugar bonito, bem cuidado, estacionamento amplo (com flanelinhas um pouco chatos) excelente para correr ao ar livre, certamente recomendo a visita.", dezembro de 2016
rvenditti2,"Curitiba, PR",Muito bonito e gostoso,Já fui várias vezes com as crianças andar e ver os passarinhos. Sempre que da vamos lá passear. Recomendo a todos. , dezembro de 2016
sl0usa,"São Paulo, SP","Ar Puro, harmonia com a natureza","Um local diversificado, ecologia em abundância flora e fauna com muito verde. Adorei os cuidados com esse parque bem como o atendimentos das cantinas e lojas de lembranças. Recomendo com certeza esse local, tenho certeza que os amantes da natureza vão adorar. ", dezembro de 2016
Jorge Alberto Martinez lopes,"Rio Grande, RS",lindo,"como todos os parques de curitiba muito bem cuidado , isso sem falar no tamanho do local , com uma pista para pratica de caminhadas ou corridas que circunda o parque todo , tem um lago imenso com patos e capivaras soltas no local , como ninguem e de ferro tem um local para se", março de 2016
Adriana L,"Loudun, França",Parque agradavel,"Ideal para caminhadas ao ar livre, passeios de bicicleta. Frequentado por familias com crianças. Tem lago e alguns animais soltos (carneiros, capivaras, passaros). Nos fins de semana costuma ficar lotado.",
Avelino Q,"Salvador, Brasil",Muito Lindo,"Lugar agradavel, limpo, muito bonito de arvores e gramados preservados. Otimo para caminhada. Bom para passeio do casal. Restaurantes e lanchonetes maravilhosas do deck.", dezembro de 2016
GustavoFabianoVieira,"Florianópolis, SC",Ótimo local para passear e exercitar,Sempre que venho a Curitiba tenho passagem obrigatória neste parque que é sem duvida muito aconchegante. Lugar gostoso para caminhar e exercitar, janeiro de 2016
Dalton Jr B,"Macapá, AP","Parque grande, diverso e mvimentado","O maior e mais badalado parque de Curitiba é belo. Com uma área grande, dá para correr, caminhar, apreciar os gansos, etc. Só não aconselho a ir aos domingos, pois o movimento é exacerbado: muita gente, muita muvuca.", dezembro de 2016
Divian S,"Curitiba, PR",Encontro c a natureza ,"Ótimo lugar para passear, se exercitar, tomar água de coco, caldo de cana, sorvete e até uma cervejinha no deck. O parque dispõe de churrasqueiras, aparelhos de ginástica ao ar livre, banheiros públicos, grande estacionamento.  Nesse parque será possível ver patinhos, gansos,", novembro de 2016
Eric Koji N,"Joinville, SC",Parque gigantesco,"Parque muito bonito e gigante. É cheio de gente e diversos tipos de grupos fazendo diversos tipos de coisas. Parece um parque de filme americano. Tem opções de vários tipos de lanches perto(churros, sorvete...) mas poucos banheiros. Na verdade só achei um que era pago. De resto", outubro de 2016
elael2015,"Rio de Janeiro, RJ",Relex,"Um ótimo passeio para relaxar e se desligar de tudo, bem organizado, estacionamento amplo e sem cobrança e ideal para uma corridinha ou pedalada as pistas são separadas e o parque é bem cuidado e grande.", dezembro de 2016
Francine1981,"Florianópolis, SC",Lugar ótimo para atividades ao ar livre,"òtimo espaço para atividades como corrida e caminhada. As pessoas não respeitam as placas sobre as pistas destinadas às práticas de caminhada/corrida/bike, mas dá pra fazer uma ótima atividade. super recomendo até para um picnique nos gramados", novembro de 2016
paulaheredy,"São Paulo, SP",Capivaras,"Ir para Curitiba e não ver capivaras, é como se não tivesse ido. E lá, você tem a oportunidade de ver várias delas no lago. Fora isso, o parque poderia ser mais bem aproveitado para os turistas.", fevereiro de 2016
Hugo J,"Curitiba, PR",Principal Parque de Curitiba,"Visitar o parqeu barigui me remete a infancia, um belo passeo para a familia. Você pode andar, caminhar, andar de bicileta, fazer um piquinique e tudo mais.", novembro de 2016
Bruno M,"Mafra, SC",Bom em dias de semana,"Um lugar tranquilo, bom para sair correr ou andar de bicicleta. Sempre evito durante os finais de semana, pois fica muito cheio", dezembro de 2016
marizab8181,Firenze,O parque mais saudável de Ctba,"Se você gosta de praticar caminhada, correr, patins, bicicleta ou patinete o Barigui eh o lugar certo para você. O local em sim não tem mta coisa, tem um lago maravilhos, caminhos para caminhas e praticar outros esportes. Mas, se vc entrar pelos caminhos da mata, tem", setembro de 2016
CLEIDEAri,"Curitiba, PR","Legal, mas muito cheio","O parque é bem bacana, uma pista legal para correr, andar de bicicleta ou simplesmente caminhar. Acho que faltam arvores e mais estacionamento para ser perfeito.", novembro de 2016
brunagodinho,"Mogi das Cruzes, SP",Parque enorme,"Ótimo para passear em dias não muito quentes. Fui em um dia que estava 35 graus e estava impossível de andar. É lindo e vale a pena conhecer, é um parque bem grande, um dos mais bonitos de Curitiba, senão o mais bonito.", dezembro de 2016
FelipeFigueired0,"Natal, RN",Lindo Parque para passeio,"Parque muito organizado com animais a vista, pista para ciclismo e caminhada. Alugamos bicicletas elétricas com cadeira para as crianças, passeio muito divertido.", dezembro de 2016
Jaqueline K,,Lindo parque,"Visitei o Parque Barigui com amigos... é um lugar lindissimo para passear, praticar atividades ou somente ficar contemplando a natureza.", novembro de 2016
PriscilaPG,"Campo Largo, PR",Tranquilidade,"O parque Barigui está situado bem na entrada de Curitiba. Oferece bela paisagem, boas pistas para caminhada, corrida ou bike, com algumas opções de lanches. É agradável, tranquilo, bom para momentos em família.", janeiro de 2016
Mundial Turista,"São Paulo, SP",Diferente ,Podemos dizer que é um é um dos um é um dos primeiros parques de Curitiba antigamente ele era mais seguro é um parque muito grande amplo e divertido lotada nos finais de semana apenas tem que se tomar muito cuidado com a segurança ocorre assaltos lá sim mas vamos Lá com, agosto de 2016
Priscila A,"Curitiba, PR",Lugar de descanso,"Um excelente parque para se visitar com os amigos e/ou familiares. Espaço amplo e com muito verde. É possível praticar caminhada, patins e outros esportes. Apreciar a vista do lago, sentados na grama e fazer um piquenique. É possível ver as capivaras, que estão no lago. Passeio", outubro de 2016
Fernandohf,"Curitiba, PR",Obrigatório,"Ótimo lugar para caminhar, correr e praticar outros esportes, frequentemente tem eventos em datas festivas, é bem policiado e é difícil de encontrar aqueles carros com som som alto e ruim. passeiam ali, famílias, namorados, solitários, atletas, jovens e idosos e até o ""Oil Man"",", novembro de 2016
Willian Eduardo N,"Rio do Sul, SC",Boa caminhada,"Lugar com espaço amplo para caminhada e atividades ao ar livre. Bom para ir com a família, piquenique e corrida.", novembro de 2016
Dione F,"São Leopoldo, RS",Passeio em família,"Parque muito bonito, natureza exuberante.  Espaço aberto para estar com crianças e famílias. Super índico.", dezembro de 2016
Renata Arão,"Garanhuns, PE",Inesquecível ,"Que Curitiba tem parques lindos, todo mundo sabe.  Mas esse Barigui é o máximo.  Adorei poder ver de perto as capivaras.  São muitas por metro quadrado.  Os Curitibanos frequentam o parque com cachorros, crianças,  fazem piquenique.  É imperdível. ", dezembro de 2016
Ju Vieceli,"Porto Alegre, RS",Lago muito bonito,"Parque bonito, com extensa área verde e um lago. Bastante frequentado nos finais de tarde para a prática de atividades físicas ao ar livre. Possui estacionamento.", novembro de 2016
Cris F,,Parque Publico,"O Parque e lindo, todo aberto sem grades é aberto de segunda a segunda, com banheiros, lanchonetes e bebedores espalhados pelo parque, também conta com estacionamento gratuito e ainda algumas áreas com churrasqueiras para fazer piquenique. Super agradável pra caminhada, corrida", dezembro de 2016
dilopesf_,,Visita ao Parque Barigui,Essa foto foi da minha primeira vez visitando o parque em novembro de 2016. Amei e pretendo voltar para passear de novo em breve. , dezembro de 2016
barbaraareas,"Rio de Janeiro, RJ",Praia dos curitibanos,O parque com a maior estrutura de curitiba e o melhor para fazer atividades. Conta com uma pista de corrida e outra de bike alem de belos gramados. Tem varios restaurantes ao redor tambem., dezembro de 2016
Bruno A,,Lindo parque!,"Parque bem grande e belo. Ótimo para correr, passear com os pets, ou simplesmente curtir a natureza com a família.", novembro de 2016
Yusha Marinho,"Maceió, AL",Agradável.  ,"Achei um parque agradável. Normal, sem muitas coisas pra se ver. Muito verde e bem tranquilo. É o típico local pra um bom  piquenique. ", setembro de 2016
Vanete M,,Confraternização,"Lugar gostoso!! Para quem estar entre amigos, local movimentado, com pessoas diferentes! Estamos em meio a natureza, tanto para praticar exércitos como encontrar amigos e tomar uma breja.  ", novembro de 2016
234luiscesar,Itu,Natureza,Local muito bem cuidado e com opções paro lazer e o contato com a natureza. Excelente opção para uma corrida ou caminhada em Curitiba, setembro de 2016
Bruno A,,Parque Barigui,"O parque é ótimo para um passeio ou caminhada. O parque é muito bonito com um lago ao centro, é bastante movimentado, ainda assim com uma grande calma para quem curte um momento de silencio.  Outro ponto interessante é o centro de eventos onde sempre tem atrações diversas como", setembro de 2016
Alana B,,Lugar agradável,"É muito bom ir ao parque Barigui caminhar e depois sentar-se na grama para descansar. Não há muitas opções para comer no local, no entanto, o parque fica em frente ao shopping um lanchinho caso bata aquela fome, rsrsrs.", novembro de 2016
Danielle N,"Curitiba, PR",Passeio no fim de semana,"Bom para caminhar ou correr! Há churrasqueiras gratuitas (tem que chegar cedo), sempre tem uma exposição ou uma feira, acesso de carro, ônibus, bike, a pé...", novembro de 2016
Tati França,"Santos, SP",Pôr do Sol,"Assisti o pôr do sol no Parque Barigui e fiquei hipnotizada. Lindo de viver! Local maravilhoso para a prática de atividade física, piquenique etc. Tem que conhecer!", outubro de 2016
Bruna V,"Telêmaco Borba, PR",O mais frequentando,"O Barigui é um parque que sempre lota aos fins de semana, muitas pessoas praticando esportes ou simplesmente admirando a paisagem que é linda.", novembro de 2016
Jakebrige03,"Rio de Janeiro, RJ",Sem título,"Acho esse parque muito bonito, excelente passeio para um dia de sol, piquenique, prática de esporte, passear sozinho ou com a família. Tem uma área verde muito bonita é bem lipo e organizado. Recomendo.", novembro de 2016
Lucas M,,Parque limpo e muito bonito,"O parque é bem grande, tem trilhas bem lindas e compridas, bastante árvores para descansar na sombra. lugar ótimo para ir em casal ou levar as crianças para se divertir.", novembro de 2016
RB D,,Oasis no meio da cidade,Ótimo para passeio com amigos e família com locais para se fazer um piquenique e práticas de várias atividades físicas, setembro de 2016
jhajordan,,Ótimo ,"É um lugar para a família para amigos tem calçada para pedestres para bicicletas e para atletas é um ambiente ao ar livre perfeito para dias ensolarados, o lago e as capivaras dão um up no ambiente também. Super recomendo para turistas", novembro de 2016
Elenice C,,Espaço de lazer / esportes,"Ótimo lugar para quem pratica caminhada , corrida, rolar, ciclismo, além de ofereçer espaço para academias com treinos ao ar livre . Também é um ótimo espaço para famílias, crianças pequenas tem muito espaço para brincar. Acredito ser um espaço sem distinção de usuários  , pois", novembro de 2016
thiaago,"São Paulo, SP",Muito boa para corrida!,"Excelente parque. Estacionamento gratuito sem flanelinhas. Limpo, organizado e seguro. O banheiro precisa de mais limpeza. Também falta bebedouros para quem ta correndo repor água. A paisagem do parque é muito bonita. Deixa a sua corrida mais agradável. Dentro do parque há", novembro de 2016
Priscila V,"Rio de Janeiro, RJ",Lindo,O parque e seus arredores são lindos. O ônibus turístico passa em frente e permite uma boa visão. Vale descer e caminhar pela linda área verde do parque. Ótimo para passeios com a família., novembro de 2016
Romenik G,,Lugar de momentos inesquecíveis.,"Que lugar mais lindo, com churrasqueira armador de rede, espaço para andar de bicicleta, patinete, skate, um lugar de muita diversão e tranquilidade, esse é o lugar parque Barigui,lindo demais.. ", novembro de 2016
Jéssica L,,Bonito,"Parque agradável no qual inúmeras pessoas costumam praticar atividades físicas. Pode-se ver capivaras e outros animais no local. O estacionamento é amplo, porém como é um lugar no qual são realizadas feiras em seus pavilhões, facilmente lota. Há restaurantes, bares, lanchonetes.", outubro de 2016
AdrieneMS,"Santos, SP",Parque no meio urbano.,Conta com uma bela área de corrida e alguns comércios na proximidades. Ideal para dias de sol para passar o dia., novembro de 2016
Fabiana S,"Londrina, PR",Lugar lindo,"O lugar é lindo, sem duvidas um dos melhores pontos para se visitar em Curitiba. Fui na companhia de amigos, como adoro musica cantar nessa cenário sem duvidas é uma inspiração.", agosto de 2016
Tamires N,"Itapeva, SP",relax,"um lugar muito gostoso pra relaxar, fazer uma caminhada, sentar, tomar uma agua de coco, uma cerveja, e apreciar a bela paisagem e gente bonita de curitiba!", dezembro de 2015
